OBJECTID,DBA,BUILDING,ZIPCODE,long,lat
6,DANTE'S GOURMET FOOD,166,10038,-74.0057,40.7103
42,NEIGHBORHOOD,275,10013,-74.0051,40.7186
54,PLANET GYRO/PLANET BRAVO,94,10006,-74.0135,40.7081
63,FORGE,134,10013,-74.0097,40.7164
72,KAFENEO,80,10005,-74.0073,40.7071
140,NHA TRANG REST.,87,10013,-73.9997,40.7169
195,ANGLERS CLUB OF NEW YORK,101,10004,-74.0116,40.7034
214,BROADWAY CAFE,401,10013,-74.0025,40.7187
222,CHATHAM SQUARE RESTAURANT,6,10038,-73.9981,40.7137
240,LUCKY STRIKES,59,10013,-74.0034,40.7222
246,ANDREWS COFFEE SHOP,116,10038,-74.0057,40.7076
268,TOAD HALL,57,10013,-74.0035,40.7223
290,PRIVATE CLUB,60,10005,-74.0083,40.7065
312,JHANKAR,94,10007,-74.0073,40.7147
317,F.M NEWS,122,10005,-74.0072,40.7053
318,SUBWAY,122,10005,-74.0072,40.7053
384,THE METROPOLITAN GRILL,1,10038,-74.0007,40.7117
446,EUROPA CAFE,199,10038,-74.0043,40.7073
456,KILLARNEY ROSE,80,10005,-74.0087,40.7053
460,SQUARE DINER,33,10013,-74.0073,40.7184
472,SUBWAY,153,10013,-74.0101,40.7159
477,J&P TODA CORP,180,10038,-74.0098,40.71
494,CITY HALL DONUTS,381,10013,-74.0047,40.7214
529,NEW YORK MARRIOTT FINANCIAL CENTER,85,10006,-74.0147,40.7098
530,ANQUET KITCHEN,85,10006,-74.0147,40.7098
531,85 WEST BAR & ROOM SERVICES,85,10006,-74.0147,40.7098
532,ROY'S,85,10006,-74.0147,40.7098
544,GOAT FIFTY,36,10038,-74.0016,40.7076
572,SOPHIE'S CUBAN CUISINE,96,10007,-74.0074,40.7147
573,ASHLEY'S EUROPEAN BAKERY,96,10007,-74.0074,40.7147
593,LAFAYETTE GRILL,54,10013,-74.0027,40.7171
626,BENTON NOVEAU,173,10007,-74.0099,40.7099
655,THE BEEKMAN,15,10038,-74.0063,40.711
674,YIP'S RESTAURANT,18,10004,-74.0123,40.705
680,EAST CORNER,70,10002,-73.9952,40.7136
706,FISH MARKET RESTAURANT,111,10038,-74.002,40.7069
762,ATOMIC WINGS,311,10007,-74.0052,40.7155
782,DIWAN E. KHAAS RESTAURANT,10,10004,-74.0106,40.7081
783,NO 1 LITTLE HOUSE,10,10004,-74.0106,40.7081
784,NO. 1 RESTAURANT,10,10004,-74.0106,40.7081
798,MANHATTAN'S BEST PIZZA INC,20,10004,-74.0122,40.705
812,OKA SUSHI,16,10038,-74.0093,40.7094
881,VEGETARIAN DIM SUM HOUSE,24,10013,-73.9983,40.7149
929,UNITED GROCERY & DELI,177,10013,-74.0081,40.7225
1011,SALT & PEPE,1,10006,-74.0129,40.7063
1058,PETITE ABEILLE,134,10013,-74.0083,40.7168
1079,AU BON PAIN,222,10038,-74.0087,40.7113
1080,MERRILL LYNCH,222,10038,-74.0087,40.7113
1083,KOMBA THAI RESTAURANT,23,10013,-73.9983,40.7149
1084,IL MATTONE,413,10013,-74.0099,40.7214
1100,SUBWAY,28,10004,-74.011,40.7031
1106,339 BROADWAY CORP.,339,10013,-74.0044,40.7165
1192,TWIN CAFE CATERERS,275,10007,-74.0112,40.7152
1193,BALUCHI'S,275,10007,-74.0112,40.7152
1194,KAFFE 1668,275,10007,-74.0112,40.7152
1208,SUGAR BAR RESTUARANT,311,10013,-74.0042,40.7197
1214,ARQUA RESTAURANT,281,10013,-74.0049,40.7187
1221,20,20,10007,-74.0076,40.714
1242,ZAITZEFF,72,10038,-74.0083,40.7096
1289,WOW CAFE,381,10013,-74.003,40.7181
1383,THE BEST OF THE BEST DELI,11,10007,-74.0083,40.7128
1384,SUNNY DELICATESSEN,11,10007,-74.0083,40.7128
1385,LITTLE ITALY PIZZA,11,10007,-74.0083,40.7128
1395,EXCHANGE CAFE,49,10006,-74.0127,40.7065
1417,SHUAN WEI RESTAURANT,45,10038,-73.9969,40.7119
1418,"JIANG, XIU JUAN",45,10038,-73.9969,40.7119
1475,MADE FRESH DAILY,226,10038,-74.0022,40.7075
1531,WHISKEY TAVERN,79,10013,-73.9998,40.7168
1559,LILY O'BRIENS,67,10007,-74.0104,40.7145
1560,STAGE DOOR DELI,26,10007,-74.0097,40.7119
1571,KOKURA JAPANESE RESTAURANT,19,10004,-74.0107,40.7081
1753,TACO BELL EXPRESS,155,10013,-74.0102,40.716
1788,FOOD KING CHINESE RESTAUR,56,10002,-73.9943,40.7117
1800,NOVECENTO,343,10013,-74.0035,40.7227
1806,SALUD,144,10038,-74.0026,40.7071
1809,BALUCHI'S MASALA,60,10004,-74.0112,40.7036
1828,READE STREET PUB & KITCHEN,135,10013,-74.0097,40.7164
1839,GOLDMAN SACHS,180,10005,-74.0049,40.7053
1840,AIG,180,10005,-74.0049,40.7053
1849,ST JOHN'S UNIVERSITY CAFETERIA,101,10007,-74.0123,40.7151
1865,EUREST DINING SERVICE/AMERICAN EXPRESS,200,10007,-74.0158,40.7146
1866,EUREST DINING SERVICE,200,10007,-74.0158,40.7146
1867,AU MANDARIN,200,10007,-74.0158,40.7146
1878,LEI RESTAURANT INC,25,10038,-74.0018,40.7081
1907,SANDWICH HOUSE INC,17,10038,-74.008,40.7109
1913,"KONG XIN RESTAURANT, INC",1,10038,-73.998,40.7134
1940,EDWARD'S,136,10013,-74.0082,40.7168
1943,AI ZHEN FOO CHOW RESTAURANT,68,10002,-73.9952,40.7136
1961,BONCHON CHAMBERS CORP.,98,10007,-74.0075,40.7147
1974,NOBU,105,10013,-74.0087,40.7194
1975,NOBU NEXT DOOR,105,10013,-74.0087,40.7194
1976,BLARNEY STONE,121,10038,-74.0072,40.71
1990,NEW CHINA RED GOURMET,118,10007,-74.0085,40.7152
2013,SCALINI FEDELI,165,10013,-74.0091,40.7173
2040,"DUNKIN' DONUTS, BASKIN ROBBINS",42,10013,-73.9995,40.715
2080,DUNKIN' DONUTS,50,10038,-74.0047,40.7082
2148,MCDONALD'S,317,10007,-74.0051,40.7157
2150,LIBERTY VIEW RESTAURANT,21,10280,-74.0176,40.7081
2151,MJK RESTAURANT,21,10280,-74.0176,40.7081
2235,TRIBECA TAVERN,247,10013,-74.0058,40.7198
2240,MCDONALD'S,52,10038,-74.0047,40.7083
2273,PAX DELI,90,10004,-74.0116,40.704
2274,IMPERIAL CHINA RESTAURANT,90,10004,-74.0116,40.704
2337,AU BON PAIN,200,10280,-74.015,40.7112
2338,SEBASTIANS CATERING,200,10280,-74.015,40.7112
2339,SURVIVORS,200,10280,-74.015,40.7112
2340,WILLIS NORTH AMERICA,200,10280,-74.015,40.7112
2353,KITCHENETTE,156,10007,-74.0103,40.716
2358,RUBEN'S EMPANADAS,505,10013,-74.0031,40.7233
2359,DOWNTOWN KITCHEN LLC,160,10038,-74.0003,40.7078
2438,IOANNIS RESTAURANT,20,10038,-74.0089,40.7098
2439,ROXY COFFEE SHOP,20,10038,-74.0089,40.7098
2446,TRIBECA PIZZERIA,378,10013,-74.0102,40.72
2494,CALABRIA RESTAURANT LLC,214,10038,-74.0025,40.7073
2495,MARKET BAR & GRILL,40,10038,-74.0016,40.7075
2498,CHAMP GOURMET,30,10004,-74.0113,40.706
2499,SUBWAY,30,10004,-74.0113,40.706
2551,WHITE HORSE TAVERN,25,10004,-74.0125,40.7036
2570,THE COUNTRY CAFE,40,10005,-74.0099,40.7066
